Note	Duration
Es	0.5
D5	0.25
D5	0.25
D5	0.5
D5	0.5
Es	0.25
D5	0.5
D5	0.25
D5	0.25
F5	0.25
D#5>	0.25
F5	0.25
D5	0.5
C5	0.25
A#4	0.25
A4	0.5
G4	0.25
F4	0.25
G4	0.5
A4	0.5
F4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.5
D5	0.25
D5	0.25
D5	0.5
D5	0.5
Es	0.25
D5	0.5
D5	0.25
D5	0.25
F5	0.25
D#5>	0.25
F5	0.25
D5	0.5
C5	0.25
A#4	0.25
A4	0.5
G4	0.25
F4	0.25
G4	0.5
A4	0.5
F4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.5
A4	0.25
A#4>	0.25
C5	0.25
A#4>	0.25
C5	0.5
A#4>	0.25
C5	0.5
A#4>	0.25
C5	1.0
A4	0.25
A#4>	0.25
C5	0.25
D5	0.25
C5	0.25
A#4>	0.25
C5	0.5
A#4>	0.25
C5	0.5
D5	0.25
C5	0.25
A#4	0.25
A4	0.25
G4	0.25
F4	0.5
D5	0.25
D5	0.25
D5	0.5
D5	0.5
Es	0.25
D5	0.5
D5	0.25
D5	0.25
F5	0.25
D#5>	0.25
F5	0.25
D5	0.5
C5	0.25
A#4	0.25
A4	0.5
G4	0.25
F4	0.25
G4	0.5
A4	0.5
F4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.5
D4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.5
D4	0.25
G4	0.25
A#4>	0.25
C5	0.25
D5	1.0
Es	1.5
D5	0.25
D5	0.25
D5	0.5
D5	0.5
Es	0.25
D5	0.5
D5	0.25
D5	0.25
F5	0.25
D#5>	0.25
F5	0.25
D5	0.5
C5	0.25
A#4	0.25
A4	0.5
G4	0.25
F4	0.25
G4	0.5
A4	0.5
F4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.5
A4	0.25
A#4>	0.25
C5	0.25
A#4>	0.25
C5	0.5
A#4>	0.25
C5	0.5
A#4>	0.25
C5	1.0
A4	0.25
A#4>	0.25
C5	0.25
D5	0.25
C5	0.25
A#4>	0.25
C5	0.5
Es	0.25
C5	0.5
D5	0.25
C5	0.25
A#4	0.25
A4	0.25
G4	0.25
F4	0.5
D5	0.25
D5	0.25
D5	0.5
D5	0.5
Es	0.25
D5	0.5
D5	0.25
D5	0.25
F5	0.25
D#5>	0.25
F5	0.25
D5	0.5
C5	0.25
A#4	0.25
A4	0.5
G4	0.25
F4	0.25
G4	0.5
A4	0.5
F4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.5
D4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.5
C4	0.25
D4	0.5
D#4>	0.25
F4	1.0
Es	0.5
A4	0.25
A4	0.25
A4	0.5
G4	0.5
A4	0.25
F4	0.5
D#4>	0.25
D4	0.5
C4	0.5
G4	0.75
F4	0.25
A4	0.125
G4	0.125
F4	0.5
D#4>	0.25
G4	0.125
F4	0.125
D#4>	0.5
D4	0.25
F4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	2.0
F4	1.5
G4	0.5
F4	1.0
D4	0.5
C4	0.75
F4	0.75
G4	0.5
G4	0.5
A4	0.5
A#4>	0.5
C5	0.5
D5	0.5
Es	0.5
C5	0.25
A#4>	0.25
C5	0.75
A#4>	0.25
C5	0.5
C5	0.75
A#4>	0.25
D5	0.25
C5	0.25
A#4>	0.25
A4	0.25
G4	0.5
A4	1.0
F4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	1.0
F4	0.5
G4	0.5
A4	0.25
A#4	0.25
A4	0.25
A#4	0.25
G4	0.5
A4	0.25
A#4	0.25
A4	0.25
A#4	0.25
G4	0.5
G4	0.25
A4	0.5
G4	0.25
C5	0.5
A#4	0.25
A4	0.25
G4	1.0
F4	0.375
D#4>	0.125
F4	0.5
G4	1.0
A#4	0.5
A4	0.5
G4	0.5
F4	1.0
D#4>	0.5
D4	1.0
A4	0.5
A4	0.5
G4	0.25
A4	0.25
F4	0.25
G4	0.25
D#4>	0.25
F4	0.25
D4	0.25
D#4>	0.25
C4	1.0
F4	0.375
D#4>	0.125
F4	0.5
G4	1.5
G4	0.5
G4	0.25
A4	0.5
G4	0.25
C5	0.5
A#4	0.25
A4	0.25
A#4>	0.25
C5	0.25
A4	0.25
G4	0.25
G4	0.5
G4	0.5
A4	0.25
F4	0.5
G4	0.25
D#4>	0.25
F4	0.25
D4	0.25
D#4>	0.25
C4	0.5
D4	0.5
Es	0.5
A4	0.5
A4	0.25
A4	0.5
G4	0.25
G4	0.25
F4	0.25
F4	0.25
D#4>	0.25
D4	0.25
F4	0.25
D#4>	0.25
F4	0.25
D4	0.25
D#4>	0.25
C4	0.5
F4	1.5
G4	0.5
F4	1.0
D4	0.5
C4	0.75
F4	0.75
G4	0.5
G4	0.5
A4	0.5
A#4>	0.5
C5	0.5
D5	0.5
Es	0.5
C5	0.25
A#4>	0.25
C5	0.75
A#4>	0.25
C5	0.5
C5	0.75
A#4>	0.25
D5	0.25
C5	0.25
A#4>	0.25
A4	0.25
G4	0.5
A4	1.0
F4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	1.0
F4	0.5
G4	0.5
A4	0.25
A#4	0.25
A4	0.25
A#4	0.25
G4	0.5
A4	0.25
A#4	0.25
A4	0.25
A#4	0.25
G4	0.5
G4	0.25
A4	0.5
G4	0.25
C5	0.5
A#4	0.25
A4	0.25
G4	1.0
F4	0.375
D#4>	0.125
F4	0.5
G4	1.0
A#4	0.5
A4	0.5
G4	0.5
F4	1.0
D#4>	0.5
D4	1.0
A4	0.5
A4	0.5
G4	0.25
A4	0.25
F4	0.25
G4	0.25
D#4>	0.25
F4	0.25
D4	0.25
D#4>	0.25
C4	1.0
F4	0.375
D#4>	0.125
F4	0.5
G4	1.5
G4	0.5
G4	0.25
A4	0.5
G4	0.25
C5	0.5
A#4	0.25
A4	0.25
A#4>	0.25
C5	0.25
A4	0.25
G4	0.25
G4	0.5
G4	0.5
A4	0.25
F4	0.5
G4	0.25
D#4>	0.25
F4	0.25
D4	0.25
D#4>	0.25
C4	0.5
D4	0.5
Es	0.5
A4	0.5
A4	0.25
A4	0.5
G4	0.25
G4	0.25
F4	0.25
F4	0.25
D#4>	0.25
D4	0.25
F4	0.25
D#4>	0.25
F4	0.25
D4	0.5
A4	0.5
A4	0.25
A4	0.5
G4	0.25
G4	1.0
G4	0.25
F4	0.25
A4	0.25
G4	0.25
G4	0.5
D#4>	0.5
D4	0.25
F4	0.5
D#4>	0.25
D4	1.0
D#4>	0.5
F4	0.25
G4	0.25
D#4>	0.25
F4	0.25
D4	0.25
D#4>	0.25
C4	0.5
C4	0.5
F4	1.0
G4	0.25
F4	0.25
A4	0.25
G4	0.25
G4	0.5
D#4>	0.5
D4	0.25
F4	0.5
D#4>	0.25
D4	1.0
D4	0.5
F4	0.5
D#4>	0.5
F4	0.5
D4	0.5
D4	0.5
C4	1.0
C4	1.5
A#3>	0.5
A3	0.5
G3	0.5
A3	0.5
A#3>	0.5
C4	0.5
C4	0.5
Es	0.5
A4	0.5
A4	0.25
A4	0.5
G4	0.25
G4	0.25
F4	0.25
G4	0.5
G4	0.25
F4	0.25
A4	0.25
G4	0.25
G4	0.5
D#4>	0.5
D4	0.25
F4	0.5
D#4>	0.25
D4	1.0
D#4>	0.5
F4	0.25
G4	0.25
D#4>	0.25
F4	0.25
D4	0.25
D#4>	0.25
C4	0.5
C4	0.5
F4	1.0
G4	0.25
F4	0.25
A4	0.25
G4	0.25
G4	0.5
D#4>	0.5
D4	0.25
F4	0.5
D#4>	0.25
D4	0.5
D4	0.25
D4	0.25
D4	0.5
F4	0.5
D#4>	0.5
F4	0.5
D4	0.5
D4	0.5
C4	1.0
C4	1.5
A#3>	0.5
A3	0.5
G3	0.5
A3	0.5
A#3>	0.5
C4	0.5
C4	0.5
Es	0.5
A4	0.5
A4	0.25
A4	0.5
A4	0.25
A4	1.0
A4	0.25
C5	0.25
A#4>	0.25
C5	0.25
A4	1.0
A4	0.25
C5	0.25
A#4>	0.25
C5	0.25
A4	0.75
A#4	0.25
A4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.5
A4	0.75
F4	0.75
G4	0.75
G4	0.25
C5	0.5
A#4>	0.5
A4	0.5
G4	0.5
C5	0.25
A#4>	0.25
C5	0.25
D5	0.25
C5	0.25
E5	0.25
D5	0.25
C5	0.25
A#4>	0.25
A4	0.25
C5	0.125
A#4>	0.125
A4	0.25
Es	0.5
A4	0.5
A4	0.25
A4	0.5
A4	0.25
A4	1.0
A4	0.25
C5	0.25
A#4>	0.25
C5	0.25
A4	1.0
A4	0.25
C5	0.25
A#4>	0.25
C5	0.25
A4	0.75
A#4	0.25
A4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.5
A4	0.75
F4	0.75
G4	0.75
G4	0.25
C5	0.5
A#4>	0.5
A4	0.5
G4	0.5
C5	0.25
A#4>	0.25
C5	0.25
D5	0.25
C5	0.25
E5	0.25
D5	0.25
C5	0.25
A#4>	0.25
A4	0.25
C5	0.125
A#4>	0.125
A4	0.25
A4	1.0
G4	0.5
G4	0.5
G4	0.25
F4	0.25
D#4>	0.25
D4	0.25
C4	0.5
D4	0.5
Es	0.5
D4	0.5
D#4>	0.25
F4	0.5
D#4>	0.25
F4	1.0
G4	0.25
F4	0.25
A4	0.25
G4	0.25
D4	2.0
D5	1.0
D5	0.25
C5	0.25
A#4	0.25
A4	0.25
G4	0.25
F4	0.25
G4	0.5
A4	0.25
F4	0.5
D#4>	0.25
D4	0.5
D#4>	0.25
F4	0.25
G4	0.375
F4	0.125
D#4>	0.25
F4	0.25
D#4>	0.375
D4	0.125
C4	0.5
G4	0.5
A#4	0.25
A4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.25
C4	0.5
D4	0.5
Es	0.5
D4	0.5
D#4>	0.25
F4	0.5
D#4>	0.25
F4	1.0
G4	0.25
F4	0.25
A4	0.25
G4	0.25
D4	2.0
D5	1.0
D5	0.25
C5	0.25
A#4	0.25
A4	0.25
G4	0.5
F4	0.25
D#4>	0.25
F4	0.25
A4	0.75
F4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	2.0
